,sentence,tokens,slots
2700,może być podręcznik albo encyklopedia która porusza problem prawa,"['może', 'być', 'podręcznik', 'albo', 'encyklopedia', 'która', 'porusza', 'problem', 'prawa']","['O', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'O', 'O', 'B-keyword']"
2701,polecisz mi dokumenty,"['polecisz', 'mi', 'dokumenty']","['O', 'O', 'Doc_type']"
2702,chciałbym podręczniki w tematyce słownika biograficzny,"['chciałbym', 'podręczniki', 'w', 'tematyce', 'słownika', 'biograficzny']","['O', 'Doc_type', 'O', 'O', 'B-keyword', 'I-keyword']"
2703,"weź mi daj pracę, książkę, normę lub rozprawę opisującą temat współpracy przedsiębiorstw klastra","['weź', 'mi', 'daj', 'pracę', ',', 'książkę', ',', 'normę', 'lub', 'rozprawę', 'opisującą', 'temat', 'współpracy', 'przedsiębiorstw', 'klastra']","['O', 'O', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'O', 'B-keyword', 'I-keyword', 'I-keyword']"
2704,potrzebuję rozpraw odnoszących się do problemu warszawy,"['potrzebuję', 'rozpraw', 'odnoszących', 'się', 'do', 'problemu', 'warszawy']","['O', 'Doc_type', 'O', 'O', 'O', 'O', 'B-keyword']"
2705,weź mi poleć cel,"['weź', 'mi', 'poleć', 'cel']","['O', 'O', 'O', 'B-keyword']"
2706,masz może encyklopedię bądź artykuł,"['masz', 'może', 'encyklopedię', 'bądź', 'artykuł']","['O', 'O', 'Doc_type', 'O', 'Doc_type']"
2707,"niech będą prace posiadające rynku, плохо видящих людей oraz witold gombrowicz","['niech', 'będą', 'prace', 'posiadające', 'rynku', ',', 'плохо', 'видящих', 'людей', 'oraz', 'witold', 'gombrowicz']","['O', 'O', 'Doc_type', 'O', 'B-keyword', 'O', 'B-keyword', 'I-keyword', 'I-keyword', 'B-Choice-and', 'B-keyword', 'I-keyword']"
2708,"chcę esej, dokument, rozprawę z czynnikiem","['chcę', 'esej', ',', 'dokument', ',', 'rozprawę', 'z', 'czynnikiem']","['O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'B-keyword']"
2709,"poleć książkę na temat polsce, higieny pracy, obrazu poetycki i do tego przedsiębiorczości kobieta","['poleć', 'książkę', 'na', 'temat', 'polsce', ',', 'higieny', 'pracy', ',', 'obrazu', 'poetycki', 'i', 'do', 'tego', 'przedsiębiorczości', 'kobieta']","['O', 'Doc_type', 'O', 'O', 'B-keyword', 'O', 'B-keyword', 'I-keyword', 'O', 'B-keyword', 'I-keyword', 'B-Choice-and', 'I-Choice-and', 'I-Choice-and', 'B-keyword', 'I-keyword']"
2710,"no to już niech będzie książki, patenty, eseje, publikacje","['no', 'to', 'już', 'niech', 'będzie', 'książki', ',', 'patenty', ',', 'eseje', ',', 'publikacje']","['O', 'O', 'O', 'O', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type']"
2711,zapodaj mi skrypty z проф.,"['zapodaj', 'mi', 'skrypty', 'z', 'проф.']","['O', 'O', 'Doc_type', 'O', 'B-keyword']"
2712,"weź mi daj prace lub coś wyjaśniającego decyzji, wysokich stanowisko bądź tabelę","['weź', 'mi', 'daj', 'prace', 'lub', 'coś', 'wyjaśniającego', 'decyzji', ',', 'wysokich', 'stanowisko', 'bądź', 'tabelę']","['O', 'O', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'B-keyword', 'O', 'B-keyword', 'I-keyword', 'B-Choice-or', 'B-keyword']"
2713,poleć mi publikację lub podręcznik obejmujący cultural studies,"['poleć', 'mi', 'publikację', 'lub', 'podręcznik', 'obejmujący', 'cultural', 'studies']","['O', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'B-keyword', 'I-keyword']"
2714,zapodaj podręczniki albo skrypty odnoszące się do problematyki zastosowania mechanizmów governance,"['zapodaj', 'podręczniki', 'albo', 'skrypty', 'odnoszące', 'się', 'do', 'problematyki', 'zastosowania', 'mechanizmów', 'governance']","['O', 'Doc_type', 'O', 'Doc_type', 'O', 'O', 'O', 'O', 'B-keyword', 'I-keyword', 'I-keyword']"
2715,"masz może recenzje w tematyce niepełnych czasowo, okresie adolescencji oraz emocje","['masz', 'może', 'recenzje', 'w', 'tematyce', 'niepełnych', 'czasowo', ',', 'okresie', 'adolescencji', 'oraz', 'emocje']","['O', 'O', 'Doc_type', 'O', 'O', 'B-keyword', 'I-keyword', 'O', 'B-keyword', 'I-keyword', 'B-Choice-and', 'B-keyword']"
2716,dodatkowo granica,"['dodatkowo', 'granica']","['O', 'B-keyword']"
2717,"poleć książkę bądź recenzję mającą tagi : pracy, ryzyki kredytowego banku i do tego warszawy","['poleć', 'książkę', 'bądź', 'recenzję', 'mającą', 'tagi', ':', 'pracy', ',', 'ryzyki', 'kredytowego', 'banku', 'i', 'do', 'tego', 'warszawy']","['O', 'Doc_type', 'O', 'Doc_type', 'O', 'O', 'O', 'B-keyword', 'O', 'B-keyword', 'I-keyword', 'I-keyword', 'B-Choice-and', 'I-Choice-and', 'I-Choice-and', 'B-keyword']"
2718,"poleć publikację, pracę, książkę, skrypt na temat odpowiedniejszych równanie","['poleć', 'publikację', ',', 'pracę', ',', 'książkę', ',', 'skrypt', 'na', 'temat', 'odpowiedniejszych', 'równanie']","['O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'O', 'B-keyword', 'I-keyword']"
2719,"bardziej pasuje mi podręcznik, praca, artykuł albo coś","['bardziej', 'pasuje', 'mi', 'podręcznik', ',', 'praca', ',', 'artykuł', 'albo', 'coś']","['O', 'O', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type']"
2720,chciałbym coś,"['chciałbym', 'coś']","['O', 'Doc_type']"
2721,"już bym wolał modela, bednarczyka","['już', 'bym', 'wolał', 'modela', ',', 'bednarczyka']","['O', 'O', 'O', 'B-keyword', 'O', 'B-keyword']"
2722,"może być książka, patent ewentualnie esej obejmujący dziedzinę tematu","['może', 'być', 'książka', ',', 'patent', 'ewentualnie', 'esej', 'obejmujący', 'dziedzinę', 'tematu']","['O', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'O', 'B-keyword']"
2723,"zaproponuj książkę poruszającą problematykę senator rp,inżynier ewentualnie stanów niski","['zaproponuj', 'książkę', 'poruszającą', 'problematykę', 'senator', 'rp,inżynier', 'ewentualnie', 'stanów', 'niski']","['O', 'Doc_type', 'O', 'O', 'B-keyword', 'I-keyword', 'B-Choice-or', 'B-keyword', 'I-keyword']"
2724,"może esej, podręcznik lub skrypt opisujący problem religijne","['może', 'esej', ',', 'podręcznik', 'lub', 'skrypt', 'opisujący', 'problem', 'religijne']","['O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'O', 'B-keyword']"
2725,niech będą dowódcy,"['niech', 'będą', 'dowódcy']","['O', 'O', 'B-keyword']"
2726,zapodaj skrypty ewentualnie patenty w którym są : źródła odnawialny i do tego gazety ostródzka,"['zapodaj', 'skrypty', 'ewentualnie', 'patenty', 'w', 'którym', 'są', ':', 'źródła', 'odnawialny', 'i', 'do', 'tego', 'gazety', 'ostródzka']","['O', 'Doc_type', 'O', 'Doc_type', 'O', 'O', 'O', 'O', 'B-keyword', 'I-keyword', 'B-Choice-and', 'I-Choice-and', 'I-Choice-and', 'B-keyword', 'I-keyword']"
2727,niech będzie praca ewentualnie publikacja związana z tematem strefie euro,"['niech', 'będzie', 'praca', 'ewentualnie', 'publikacja', 'związana', 'z', 'tematem', 'strefie', 'euro']","['O', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'O', 'O', 'B-keyword', 'I-keyword']"
2728,"daj mi normy odnoszące się do tematu online, psychologii","['daj', 'mi', 'normy', 'odnoszące', 'się', 'do', 'tematu', 'online', ',', 'psychologii']","['O', 'O', 'Doc_type', 'O', 'O', 'O', 'O', 'B-keyword', 'O', 'B-keyword']"
2729,może być recenzja bądź artykuł,"['może', 'być', 'recenzja', 'bądź', 'artykuł']","['O', 'O', 'Doc_type', 'O', 'Doc_type']"
2730,chciałabym dokumenty bądź coś dotyczącego authoritarian personality,"['chciałabym', 'dokumenty', 'bądź', 'coś', 'dotyczącego', 'authoritarian', 'personality']","['O', 'Doc_type', 'O', 'Doc_type', 'O', 'B-keyword', 'I-keyword']"
2731,"chcę publikację, dokument, recenzję ewentualnie coś co wyjaśni mi tematykę z tematem España, programa oparto, konsumentów bądź warszawy","['chcę', 'publikację', ',', 'dokument', ',', 'recenzję', 'ewentualnie', 'coś', 'co', 'wyjaśni', 'mi', 'tematykę', 'z', 'tematem', 'España', ',', 'programa', 'oparto', ',', 'konsumentów', 'bądź', 'warszawy']","['O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'O', 'O', 'O', 'O', 'O', 'B-keyword', 'O', 'B-keyword', 'I-keyword', 'O', 'B-keyword', 'B-Choice-or', 'B-keyword']"
2732,może coś obejmującego tematykę z problemem rozpadu rodzina,"['może', 'coś', 'obejmującego', 'tematykę', 'z', 'problemem', 'rozpadu', 'rodzina']","['O', 'Doc_type', 'O', 'O', 'O', 'O', 'B-keyword', 'I-keyword']"
2733,"niech już będą podręczniki, recenzje","['niech', 'już', 'będą', 'podręczniki', ',', 'recenzje']","['O', 'O', 'O', 'Doc_type', 'O', 'Doc_type']"
2734,"chciałabym patent, podręcznik albo rozprawę obejmującą wyjaśnienie ewa stachowska","['chciałabym', 'patent', ',', 'podręcznik', 'albo', 'rozprawę', 'obejmującą', 'wyjaśnienie', 'ewa', 'stachowska']","['O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'O', 'B-keyword', 'I-keyword']"
2735,"niech będzie encyklopedia, praca, artykuł, podręcznik o : korpusu, edukacji, internetu oraz możliwości","['niech', 'będzie', 'encyklopedia', ',', 'praca', ',', 'artykuł', ',', 'podręcznik', 'o', ':', 'korpusu', ',', 'edukacji', ',', 'internetu', 'oraz', 'możliwości']","['O', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'O', 'B-keyword', 'O', 'B-keyword', 'O', 'B-keyword', 'B-Choice-and', 'B-keyword']"
2736,"zapodaj patenty związane z problemem derby, konnych żołnierz a także archiwum państwowy","['zapodaj', 'patenty', 'związane', 'z', 'problemem', 'derby', ',', 'konnych', 'żołnierz', 'a', 'także', 'archiwum', 'państwowy']","['O', 'Doc_type', 'O', 'O', 'O', 'B-keyword', 'O', 'B-keyword', 'I-keyword', 'B-Choice-and', 'I-Choice-and', 'B-keyword', 'I-keyword']"
2737,zapodaj mi recenzje bądź artykuły w którym znajdę omówienie problemu emerytury,"['zapodaj', 'mi', 'recenzje', 'bądź', 'artykuły', 'w', 'którym', 'znajdę', 'omówienie', 'problemu', 'emerytury']","['O', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'O', 'O', 'O', 'O', 'B-keyword']"
2738,szukam książek informujących na temat kraków,"['szukam', 'książek', 'informujących', 'na', 'temat', 'kraków']","['O', 'Doc_type', 'O', 'O', 'O', 'B-keyword']"
2739,"szukam artykułu, skryptu lub encyklopedii odnoszącej się do problematyki bohatera","['szukam', 'artykułu', ',', 'skryptu', 'lub', 'encyklopedii', 'odnoszącej', 'się', 'do', 'problematyki', 'bohatera']","['O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'O', 'O', 'O', 'B-keyword']"
2740,poleć mi dokumenty z dziedziny wydatku bieżący,"['poleć', 'mi', 'dokumenty', 'z', 'dziedziny', 'wydatku', 'bieżący']","['O', 'O', 'Doc_type', 'O', 'O', 'B-keyword', 'I-keyword']"
2741,"polecisz mi średnich odchylenie, krew i do tego świat","['polecisz', 'mi', 'średnich', 'odchylenie', ',', 'krew', 'i', 'do', 'tego', 'świat']","['O', 'O', 'B-keyword', 'I-keyword', 'O', 'B-keyword', 'B-Choice-and', 'I-Choice-and', 'I-Choice-and', 'B-keyword']"
2742,"poleć normę zawierającą informacje z dziedziny izby przemysłowy, rabinów, instrumentu cyfrowy bądź treningu personalny","['poleć', 'normę', 'zawierającą', 'informacje', 'z', 'dziedziny', 'izby', 'przemysłowy', ',', 'rabinów', ',', 'instrumentu', 'cyfrowy', 'bądź', 'treningu', 'personalny']","['O', 'Doc_type', 'O', 'O', 'O', 'O', 'B-keyword', 'I-keyword', 'O', 'B-keyword', 'O', 'B-keyword', 'I-keyword', 'B-Choice-or', 'B-keyword', 'I-keyword']"
2743,poleć publikację mówiącą o temacie katalogu kobiet,"['poleć', 'publikację', 'mówiącą', 'o', 'temacie', 'katalogu', 'kobiet']","['O', 'Doc_type', 'O', 'O', 'O', 'B-keyword', 'I-keyword']"
2744,"zapodaj dokument, recenzję, pracę dotyczącą qualitative","['zapodaj', 'dokument', ',', 'recenzję', ',', 'pracę', 'dotyczącą', 'qualitative']","['O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'B-keyword']"
2745,masz może patenty lub artykuły o osobowemu,"['masz', 'może', 'patenty', 'lub', 'artykuły', 'o', 'osobowemu']","['O', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'B-keyword']"
2746,znajdź artykuł w zakresie proliferacji broni,"['znajdź', 'artykuł', 'w', 'zakresie', 'proliferacji', 'broni']","['O', 'Doc_type', 'O', 'O', 'B-keyword', 'I-keyword']"
2747,może coś opisującego temat sieci handlowej województwa i do tego działalności związać,"['może', 'coś', 'opisującego', 'temat', 'sieci', 'handlowej', 'województwa', 'i', 'do', 'tego', 'działalności', 'związać']","['O', 'Doc_type', 'O', 'O', 'B-keyword', 'I-keyword', 'I-keyword', 'B-Choice-and', 'I-Choice-and', 'I-Choice-and', 'B-keyword', 'I-keyword']"
2748,bardziej publikacja,"['bardziej', 'publikacja']","['O', 'Doc_type']"
2749,niech już będą coś,"['niech', 'już', 'będą', 'coś']","['O', 'O', 'O', 'Doc_type']"
2750,"weź mi poleć artykuł, skrypt, patent ewentualnie dokument odnoszący się do problemu szkoły ponadgimnazjalny","['weź', 'mi', 'poleć', 'artykuł', ',', 'skrypt', ',', 'patent', 'ewentualnie', 'dokument', 'odnoszący', 'się', 'do', 'problemu', 'szkoły', 'ponadgimnazjalny']","['O', 'O', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'O', 'O', 'O', 'B-keyword', 'I-keyword']"
2751,"chciałabym encyklopedie, patenty, publikacje, artykuły na temat ref. ref.","['chciałabym', 'encyklopedie', ',', 'patenty', ',', 'publikacje', ',', 'artykuły', 'na', 'temat', 'ref.', 'ref.']","['O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'O', 'B-keyword', 'I-keyword']"
2752,"weź mi poleć kampanii wyborczych, służbę pamięć bądź szkoły","['weź', 'mi', 'poleć', 'kampanii', 'wyborczych', ',', 'służbę', 'pamięć', 'bądź', 'szkoły']","['O', 'O', 'O', 'B-keyword', 'I-keyword', 'O', 'B-keyword', 'I-keyword', 'B-Choice-or', 'B-keyword']"
2753,zapodaj eseje albo artykuły,"['zapodaj', 'eseje', 'albo', 'artykuły']","['O', 'Doc_type', 'O', 'Doc_type']"
2754,"no to dokument, patent, praca ewentualnie coś dotyczącego tematu ekipy gierka","['no', 'to', 'dokument', ',', 'patent', ',', 'praca', 'ewentualnie', 'coś', 'dotyczącego', 'tematu', 'ekipy', 'gierka']","['O', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'O', 'B-keyword', 'I-keyword']"
2755,"chcę książki, patenty bądź dokumenty","['chcę', 'książki', ',', 'patenty', 'bądź', 'dokumenty']","['O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type']"
2756,poleć mi dokumenty obejmujące zwraca uwagę,"['poleć', 'mi', 'dokumenty', 'obejmujące', 'zwraca', 'uwagę']","['O', 'O', 'Doc_type', 'O', 'B-keyword', 'I-keyword']"
2757,niech będą normy lub podręczniki,"['niech', 'będą', 'normy', 'lub', 'podręczniki']","['O', 'O', 'Doc_type', 'O', 'Doc_type']"
2758,"szukam publikacji, recenzji, książki, czegoś opisującego polsko-bols zewickiej a także szkołę","['szukam', 'publikacji', ',', 'recenzji', ',', 'książki', ',', 'czegoś', 'opisującego', 'polsko-bols', 'zewickiej', 'a', 'także', 'szkołę']","['O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'B-keyword', 'I-keyword', 'B-Choice-and', 'I-Choice-and', 'B-keyword']"
2759,"chcę coś mającego związek z dziedziną telewizora, odnogi torebki wewnętrznej, głównej izby centralnej i do tego cechu","['chcę', 'coś', 'mającego', 'związek', 'z', 'dziedziną', 'telewizora', ',', 'odnogi', 'torebki', 'wewnętrznej', ',', 'głównej', 'izby', 'centralnej', 'i', 'do', 'tego', 'cechu']","['O', 'Doc_type', 'O', 'O', 'O', 'O', 'B-keyword', 'O', 'B-keyword', 'I-keyword', 'I-keyword', 'O', 'B-keyword', 'I-keyword', 'I-keyword', 'B-Choice-and', 'I-Choice-and', 'I-Choice-and', 'B-keyword']"
2760,bardziej najważniejsze międzynarodowe media,"['bardziej', 'najważniejsze', 'międzynarodowe', 'media']","['O', 'B-keyword', 'I-keyword', 'I-keyword']"
2761,może być patent zawierający : wydziału inżynieryjno-ekonomiczny transportu lub reymont,"['może', 'być', 'patent', 'zawierający', ':', 'wydziału', 'inżynieryjno-ekonomiczny', 'transportu', 'lub', 'reymont']","['O', 'O', 'Doc_type', 'O', 'O', 'B-keyword', 'I-keyword', 'I-keyword', 'B-Choice-or', 'B-keyword']"
2762,"masz może publikację, książkę, skrypt bądź patent","['masz', 'może', 'publikację', ',', 'książkę', ',', 'skrypt', 'bądź', 'patent']","['O', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type']"
2763,weź mi poleć skrypt na temat badania,"['weź', 'mi', 'poleć', 'skrypt', 'na', 'temat', 'badania']","['O', 'O', 'O', 'Doc_type', 'O', 'O', 'B-keyword']"
2764,daj książkę poświęconą problematyce pomocy pojęcie,"['daj', 'książkę', 'poświęconą', 'problematyce', 'pomocy', 'pojęcie']","['O', 'Doc_type', 'O', 'O', 'B-keyword', 'I-keyword']"
2765,poleć mi encyklopedię,"['poleć', 'mi', 'encyklopedię']","['O', 'O', 'Doc_type']"
2766,"weź mi daj skrypt, encyklopedię, patent obejmujący wydawnictwo naukowy","['weź', 'mi', 'daj', 'skrypt', ',', 'encyklopedię', ',', 'patent', 'obejmujący', 'wydawnictwo', 'naukowy']","['O', 'O', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'B-keyword', 'I-keyword']"
2767,no to mogą być kazamansie,"['no', 'to', 'mogą', 'być', 'kazamansie']","['O', 'O', 'O', 'O', 'B-keyword']"
2768,"znajdź patent, esej który wyjaśni mi problem benchmarkingu szkolnictwa wyższego","['znajdź', 'patent', ',', 'esej', 'który', 'wyjaśni', 'mi', 'problem', 'benchmarkingu', 'szkolnictwa', 'wyższego']","['O', 'Doc_type', 'O', 'Doc_type', 'O', 'O', 'O', 'O', 'B-keyword', 'I-keyword', 'I-keyword']"
2769,chciałabym encyklopedię lub pracę wyjaśniającą modelu ochrony zdrowia albo zagadnienie pytanie,"['chciałabym', 'encyklopedię', 'lub', 'pracę', 'wyjaśniającą', 'modelu', 'ochrony', 'zdrowia', 'albo', 'zagadnienie', 'pytanie']","['O', 'Doc_type', 'O', 'Doc_type', 'O', 'B-keyword', 'I-keyword', 'I-keyword', 'B-Choice-or', 'B-keyword', 'I-keyword']"
2770,no to wolę eseje,"['no', 'to', 'wolę', 'eseje']","['O', 'O', 'O', 'Doc_type']"
2771,zapodaj recenzję omawiającą problematykę związaną z jakimi stopień,"['zapodaj', 'recenzję', 'omawiającą', 'problematykę', 'związaną', 'z', 'jakimi', 'stopień']","['O', 'Doc_type', 'O', 'O', 'O', 'O', 'B-keyword', 'I-keyword']"
2772,"niech będą patenty poruszające problematykę związaną z dziedziną koordynacji działanie, cych uchod a także szkoły","['niech', 'będą', 'patenty', 'poruszające', 'problematykę', 'związaną', 'z', 'dziedziną', 'koordynacji', 'działanie', ',', 'cych', 'uchod', 'a', 'także', 'szkoły']","['O', 'O', 'Doc_type', 'O', 'O', 'O', 'O', 'O', 'B-keyword', 'I-keyword', 'O', 'B-keyword', 'I-keyword', 'B-Choice-and', 'I-Choice-and', 'B-keyword']"
2773,"polecisz mi skrypty, patenty opisujące temat ciqgua","['polecisz', 'mi', 'skrypty', ',', 'patenty', 'opisujące', 'temat', 'ciqgua']","['O', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'O', 'B-keyword']"
2774,"niech będzie patent, artykuł lub publikacja o centrum otwartej nauki lub drodze","['niech', 'będzie', 'patent', ',', 'artykuł', 'lub', 'publikacja', 'o', 'centrum', 'otwartej', 'nauki', 'lub', 'drodze']","['O', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'B-keyword', 'I-keyword', 'I-keyword', 'B-Choice-or', 'B-keyword']"
2775,wolę prace,"['wolę', 'prace']","['O', 'Doc_type']"
2776,zaproponuj mi rozprawy zawierające decyzję,"['zaproponuj', 'mi', 'rozprawy', 'zawierające', 'decyzję']","['O', 'O', 'Doc_type', 'O', 'B-keyword']"
2777,"zapodaj patent, książkę mówiącą o temacie opracowania własne","['zapodaj', 'patent', ',', 'książkę', 'mówiącą', 'o', 'temacie', 'opracowania', 'własne']","['O', 'Doc_type', 'O', 'Doc_type', 'O', 'O', 'O', 'B-keyword', 'I-keyword']"
2778,poleć mi skrypty obejmujące literaturę i do tego bezpieczeństwa żywnościowego stało,"['poleć', 'mi', 'skrypty', 'obejmujące', 'literaturę', 'i', 'do', 'tego', 'bezpieczeństwa', 'żywnościowego', 'stało']","['O', 'O', 'Doc_type', 'O', 'B-keyword', 'B-Choice-and', 'I-Choice-and', 'I-Choice-and', 'B-keyword', 'I-keyword', 'I-keyword']"
2779,"polecisz mi managing projects, hanyga-janczak uniwersytet humanistyczno-przyrodniczy, podstawę raport oraz jednocześnie th.n","['polecisz', 'mi', 'managing', 'projects', ',', 'hanyga-janczak', 'uniwersytet', 'humanistyczno-przyrodniczy', ',', 'podstawę', 'raport', 'oraz', 'jednocześnie', 'th.n']","['O', 'O', 'B-keyword', 'I-keyword', 'O', 'B-keyword', 'I-keyword', 'I-keyword', 'O', 'B-keyword', 'I-keyword', 'B-Choice-and', 'I-Choice-and', 'B-keyword']"
2780,zapodaj artykuły opisujące : armed conflict,"['zapodaj', 'artykuły', 'opisujące', ':', 'armed', 'conflict']","['O', 'Doc_type', 'O', 'O', 'B-keyword', 'I-keyword']"
2781,daj patent tyczący się liberalnej demokracji,"['daj', 'patent', 'tyczący', 'się', 'liberalnej', 'demokracji']","['O', 'Doc_type', 'O', 'O', 'B-keyword', 'I-keyword']"
2782,"poleć esej, skrypt mający salę","['poleć', 'esej', ',', 'skrypt', 'mający', 'salę']","['O', 'Doc_type', 'O', 'Doc_type', 'O', 'B-keyword']"
2783,chciałabym dokumenty wyjaśniające zgromadzenia sióstr franciszkanek ewentualnie poland,"['chciałabym', 'dokumenty', 'wyjaśniające', 'zgromadzenia', 'sióstr', 'franciszkanek', 'ewentualnie', 'poland']","['O', 'Doc_type', 'O', 'B-keyword', 'I-keyword', 'I-keyword', 'B-Choice-or', 'B-keyword']"
2784,zaproponuj książki obejmujące wyjaśnienie problematyki rohrera i smukłości i do tego economic growthć,"['zaproponuj', 'książki', 'obejmujące', 'wyjaśnienie', 'problematyki', 'rohrera', 'i', 'smukłości', 'i', 'do', 'tego', 'economic', 'growthć']","['O', 'Doc_type', 'O', 'O', 'O', 'B-keyword', 'I-keyword', 'I-keyword', 'B-Choice-and', 'I-Choice-and', 'I-Choice-and', 'B-keyword', 'I-keyword']"
2785,zapodaj podręcznik wyjaśniający zmianę,"['zapodaj', 'podręcznik', 'wyjaśniający', 'zmianę']","['O', 'Doc_type', 'O', 'B-keyword']"
2786,chcę pracę związaną z problemem oficyny wydawniczy,"['chcę', 'pracę', 'związaną', 'z', 'problemem', 'oficyny', 'wydawniczy']","['O', 'Doc_type', 'O', 'O', 'O', 'B-keyword', 'I-keyword']"
2787,"może być skrypt omawiający dzieło, satysfakcji a także podstawie wyników przeprowadzonych","['może', 'być', 'skrypt', 'omawiający', 'dzieło', ',', 'satysfakcji', 'a', 'także', 'podstawie', 'wyników', 'przeprowadzonych']","['O', 'O', 'Doc_type', 'O', 'B-keyword', 'O', 'B-keyword', 'B-Choice-and', 'I-Choice-and', 'B-keyword', 'I-keyword', 'I-keyword']"
2788,"masz może normę, artykuł, pracę albo rozprawę wyjaśniającą dom lub rozwoju obszarów","['masz', 'może', 'normę', ',', 'artykuł', ',', 'pracę', 'albo', 'rozprawę', 'wyjaśniającą', 'dom', 'lub', 'rozwoju', 'obszarów']","['O', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'B-keyword', 'B-Choice-or', 'B-keyword', 'I-keyword']"
2789,"może skrypty na temat badań, wieku oraz wydawnictwa","['może', 'skrypty', 'na', 'temat', 'badań', ',', 'wieku', 'oraz', 'wydawnictwa']","['O', 'Doc_type', 'O', 'O', 'B-keyword', 'O', 'B-keyword', 'B-Choice-and', 'B-keyword']"
2790,chciałabym normy lub patenty dotyczące usługi cyfrowy,"['chciałabym', 'normy', 'lub', 'patenty', 'dotyczące', 'usługi', 'cyfrowy']","['O', 'Doc_type', 'O', 'Doc_type', 'O', 'B-keyword', 'I-keyword']"
2791,niech będą artykuły,"['niech', 'będą', 'artykuły']","['O', 'O', 'Doc_type']"
2792,"może artykuł, publikacja bądź esej na temat diecezji, health lub małżeństwa","['może', 'artykuł', ',', 'publikacja', 'bądź', 'esej', 'na', 'temat', 'diecezji', ',', 'health', 'lub', 'małżeństwa']","['O', 'Doc_type', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'O', 'B-keyword', 'O', 'B-keyword', 'B-Choice-or', 'B-keyword']"
2793,wybieram skrypty albo prace,"['wybieram', 'skrypty', 'albo', 'prace']","['O', 'Doc_type', 'O', 'Doc_type']"
2794,szukam publikacji w branży magazynowych,"['szukam', 'publikacji', 'w', 'branży', 'magazynowych']","['O', 'Doc_type', 'O', 'O', 'B-keyword']"
2795,"może być norma, patent który poinformuje mnie na temat diecezjalnych","['może', 'być', 'norma', ',', 'patent', 'który', 'poinformuje', 'mnie', 'na', 'temat', 'diecezjalnych']","['O', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'O', 'O', 'O', 'O', 'B-keyword']"
2796,zapodaj artykuł opisujący problematykę z tematem medialnych,"['zapodaj', 'artykuł', 'opisujący', 'problematykę', 'z', 'tematem', 'medialnych']","['O', 'Doc_type', 'O', 'O', 'O', 'O', 'B-keyword']"
2797,chciałbym patent albo encyklopedię informującą o rynku produktów rolnych albo marce miasto,"['chciałbym', 'patent', 'albo', 'encyklopedię', 'informującą', 'o', 'rynku', 'produktów', 'rolnych', 'albo', 'marce', 'miasto']","['O', 'Doc_type', 'O', 'Doc_type', 'O', 'O', 'B-keyword', 'I-keyword', 'I-keyword', 'B-Choice-or', 'B-keyword', 'I-keyword']"
2798,polecisz mi normy lub eseje w kwestii isbn,"['polecisz', 'mi', 'normy', 'lub', 'eseje', 'w', 'kwestii', 'isbn']","['O', 'O', 'Doc_type', 'O', 'Doc_type', 'O', 'O', 'B-keyword']"
